name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"Fairfax, VA 22030",2022-08-01T00:00:00,70.9,70.9,69.7,95.94,0,0,,0,0,8.7,1.8,276,1017.2,100,8.6,0,,0,10,Overcast,cloudy,"72403603710,KIAD,72403093738,72403793728,KDAA,KHEF"
"Fairfax, VA 22030",2022-08-01T01:00:00,70.8,70.8,69.6,95.94,0,0,,0,0,5.1,0,0,1016.9,100,9.3,0,,0,3,Overcast,cloudy,"72403603710,KIAD,72403093738,72403793728,KDAA,KHEF"
"Fairfax, VA 22030",2022-08-01T02:00:00,70.8,70.8,69.5,95.94,0,0,,0,0,6.7,0,0,1016.3,100,9.9,0,,0,10,Overcast,cloudy,"72403603710,KIAD,72403093738,72403793728,KDAA,KHEF"
"Fairfax, VA 22030",2022-08-01T03:00:00,71.1,71.1,70.1,96.71,0,0,,0,0,4.3,0,0,1016,100,7.3,0,,0,10,Overcast,cloudy,"72403603710,KIAD,72403093738,KHEF"
"Fairfax, VA 22030",2022-08-01T04:00:00,71,71,70,96.61,0,0,,0,0,8.1,0,0,1015.6,100,8.5,0,,0,10,Overcast,cloudy,"72403603710,KIAD,72403093738,72403793728,KDAA,KHEF"
"Fairfax, VA 22030",2022-08-01T05:00:00,70.9,70.9,69.7,95.82,0,0,,0,0,9.4,4.9,311,1015.7,98.7,9.7,0,,0,10,Overcast,cloudy,"72403603710,KIAD,72403093738,72403793728,KDAA"
"Fairfax, VA 22030",2022-08-01T06:00:00,70.9,70.9,68.7,92.77,0,0,,0,0,8.3,4.4,305,1016,100,9.9,0,,0,5,Overcast,cloudy,"72403603710,KIAD,72403093738,72403793728,KDAA"
"Fairfax, VA 22030",2022-08-01T07:00:00,71.1,71.1,67.7,89.26,0,0,rain,0,0,11.9,7.9,320,1016.3,60.1,9.9,20,0.1,0,10,Partially cloudy,partly-cloudy-day,"72403603710,KIAD,72403093738,72403793728,KDAA,F6547,KHEF"
"Fairfax, VA 22030",2022-08-01T08:00:00,72.2,72.2,66.9,83.47,0,0,,0,0,14.3,6.7,353,1016.2,82.2,9.9,31,0.1,0,10,Partially cloudy,partly-cloudy-day,"72403603710,KIAD,72403093738,72403793728,KDAA,F6547,KHEF"
"Fairfax, VA 22030",2022-08-01T09:00:00,73.8,73.8,67.3,80.22,0,0,,0,0,15.4,2.4,307,1016.7,54.3,9.9,52,0.2,1,10,Partially cloudy,partly-cloudy-day,"72403603710,KIAD,72403093738,72403793728,KDAA,F6547,KHEF"
"Fairfax, VA 22030",2022-08-01T10:00:00,75.5,75.5,67.6,76.47,0,0,,0,0,11.4,4,260,1016.6,70.3,9.9,78,0.3,1,10,Partially cloudy,partly-cloudy-day,"72403603710,KIAD,72403093738,72403793728,KDAA,F6547,KHEF"
"Fairfax, VA 22030",2022-08-01T11:00:00,77.9,77.9,67.4,70.18,0,0,,0,0,8.7,9.7,293,1016.3,72.8,9.9,788,2.8,8,10,Partially cloudy,partly-cloudy-day,"72403603710,KIAD,72403093738,72403793728,KDAA,F6547"
"Fairfax, VA 22030",2022-08-01T12:00:00,79.9,79.9,66.8,64.47,0,0,,0,0,13.4,8.5,303,1016,74.4,9.9,759,2.7,8,10,Partially cloudy,partly-cloudy-day,"72403603710,KIAD,72403093738,72403793728,KDAA,F6547,KHEF"
"Fairfax, VA 22030",2022-08-01T13:00:00,82.6,85.1,66.8,58.88,0,0,,0,0,9.4,5.5,299,1015.3,46.8,9.9,163,0.6,2,10,Partially cloudy,partly-cloudy-day,"72403603710,KIAD,72403093738,72403793728,KDAA,F6547,KHEF"
"Fairfax, VA 22030",2022-08-01T14:00:00,84.1,87,67.5,57.61,0,0,,0,0,10.7,6.2,298,1015.1,58.6,9.9,590,2.1,6,10,Partially cloudy,partly-cloudy-day,"72403603710,KIAD,72403093738,72403793728,KDAA,F6547,KHEF"
"Fairfax, VA 22030",2022-08-01T15:00:00,85.5,89.1,68.4,56.81,0,0,,0,0,14.5,7.2,282,1014.2,74.4,9.9,214,0.8,2,10,Partially cloudy,partly-cloudy-day,"72403603710,KIAD,72403093738,72403793728,KDAA,F6547,KHEF"
"Fairfax, VA 22030",2022-08-01T16:00:00,85.5,89.4,68.8,57.55,0,0,,0,0,11.6,5.5,238,1013.1,65.8,9.9,590,2.1,6,10,Partially cloudy,partly-cloudy-day,"72403603710,KIAD,72403093738,72403793728,KDAA,F6547,KHEF"
